Title,Author,Length
Mark of the Fool 9,J.M. Clarke,20 hrs and 52 mins
Ajax's Ascension: The Baron,Keleros,15 hrs and 42 mins
The Unselected Journals of Emma M. Lion: Vol. 1,Beth Brower,Not Yet Known
A Rock and a Hard Place,JD Kirk,11 hrs and 13 mins
Mob Sorcery 3,K.D. Robertson,20 hrs and 40 mins
Killing Stroke,"J.N. Chaney, Terry Maggert",10 hrs and 24 mins
Chasing Shelter,Catherine Cowles,12 hrs and 37 mins
The War of Two Queens (Part 1 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,11 hrs
My Quiet Blacksmith Life in Another World: Volume 8,Tamamaru,5 hrs and 45 mins
Dark Age (Part 1 of 3) (Dramatized Adaptation),Pierce Brown,9 hrs
Poems & Prayers,Matthew McConaughey,7 hrs
Masquerade: A LitRPG Adventure,RinoZ,22 hrs and 13 mins
Beware of Chicken 5: A Xianxia Cultivation Novel,Casualfarmer,13 hrs and 12 mins
Florenzer,Phil Melanson,12 hrs
A Hero's Choice: An Isekai LitRPG,SourpatchHero,18 hrs and 53 mins
Glow Your Own Way: A Beauty Ritual Guide to SPF Silk Hair Skincare for Every Shade Curl and Confidence Level,Author not found,1 hr and 10 mins
Brimstone,Callie Hart,24 hrs and 26 mins
Son of the Hero King 7,Hikaru Genji,12 hrs and 21 mins
Accomplice to the Villain,Hannah Nicole Maehrer,14 hrs
The Adversary,Author not found,11 hrs
On Power,Author not found,4 hrs
Lions and Scavengers,Author not found,8 hrs
Dreamland Adventures,Author not found,11 hrs and 11 mins
Defiance of the Fall 15,JF Brink,21 hrs and 38 mins
The Faith of Beasts,James S.A. Corey,18 hrs and 30 mins
Echoes,Steph Macca,7 hrs and 7 mins
Isles of the Emberdark,Brandon Sanderson,16 hrs and 53 mins
Chains: A LitRPG Adventure,Nicoli Gonnella,27 hrs and 12 mins
Culpability,Bruce Holsinger,10 hrs and 21 mins
The Hiking Trip,Jenny Blackhurst,8 hrs and 7 mins
The Strength of the Few,James Islington,Not Yet Known
Crossroads of Ravens,Andrzej Sapkowski,12 hrs and 30 mins
Shadows Upon Time,Christopher Ruocchio,26 hrs and 15 mins
A Brief History of Chronomancy,Andrew Rowe,15 hrs and 14 mins
The Adversary,Author not found,11 hrs
Glow Up from Within,Author not found,1 hr and 12 mins
On Her Game,Christine Brennan,8 hrs and 48 mins
The Intruder,Freida McFadden,8 hrs and 30 mins
Stolen in Death,J. D. Robb,12 hrs
2024,"Josh Dawsey, Isaac Arnsdorf",10 hrs and 39 mins
Kiss of the Basilisk,Lindsay Straube,21 hrs
Bound in Blood,Sadie Kincaid,11 hrs and 58 mins
Emotional Intelligence Decoded,Freedom Publications,3 hrs and 51 mins
Big Mage on Campus 2,"Dante King, Neil Bimbeau",10 hrs and 3 mins
The Golden Goblin,Terry Mancour,18 hrs and 23 mins
Reckoning,Michael R. Miller,24 hrs
Sister Wife,Author not found,8 hrs
Shadow Princess (Part 2 of 2) (Dramatized Adaptation),"Susanne Valenti, Caroline Peckham",9 hrs
The Hallmarked Man,Robert Galbraith,32 hrs
King of Duels,pirateaba,34 hrs and 10 mins
An Inside Job,Daniel Silva,12 hrs
The Best Man,"Malcolm D. Lee, Jayne Allen - contributor",15 hrs and 43 mins
Stone and Sky,Ben Aaronovitch,10 hrs and 47 mins
Twelve Months,Jim Butcher,15 hrs
The End of the End,Mark Tufo,11 hrs and 44 mins
Invasion,Sean Oswald,16 hrs and 53 mins
Frost Burned (Dramatized Adaptation),Patricia Briggs,7 hrs
Rose in Chains,Julie Soto,16 hrs and 1 min
Till Summer Do Us Part,Meghan Quinn,11 hrs and 50 mins
Obsidian,K.F. Breene,11 hrs and 13 mins
The Irresistible Urge to Fall for Your Enemy,Brigitte Knightley,11 hrs and 37 mins
Ghosts,Joshua Dalzelle,8 hrs and 33 mins
Body Edits Micro Changes,Author not found,1 hr and 14 mins
Amazon Apocalypse 4,Marvin Knight,23 hrs and 2 mins
The Protector,Dannika Dark,10 hrs and 27 mins
The Proving Ground,Michael Connelly,12 hrs
The Science of Scaling,"Dr. Benjamin Hardy, Blake Erickson",4 hrs and 50 mins
Dinner with King Tut,Sam Kean,15 hrs and 53 mins
Butler,Salena Zito,7 hrs and 44 mins
Church,K.G. Reuss,12 hrs and 33 mins
Sherlock Holmes: The Definitive Collection,"Arthur Conan Doyle, Stephen Fry - introductions",71 hrs and 57 mins
Cher: Part Two,Cher,Not Yet Known
Our Secret Summer,Harper Bliss,6 hrs and 44 mins
Wicked,Gregory Maguire,13 hrs and 38 mins
Blood in the Water,Tiffany D. Jackson,4 hrs and 33 mins
"Fortune Academy, Books 1-10",J.R. Thorn,43 hrs and 26 mins
The Man Who Would Be King,Karen Elliott House,9 hrs and 7 mins
Edge of the Dream: An Epic Fantasy Adventure,Andrew Rowe,20 hrs and 49 mins
Crystal Clear,Author not found,1 hr and 9 mins
Dispute,Sean Oswald,16 hrs and 40 mins
How to Entice a Fiend,Alice Winters,10 hrs and 2 mins
Eco Friendly Travel Tips,Author not found,1 hr and 12 mins
The View from Lake Como,Adriana Trigiani,12 hrs and 18 mins
Summer People,"Brittanee Nicole, Jenni Bara",9 hrs and 36 mins
The Waitress,K. L. Slater,7 hrs and 56 mins
The Bond That Burns,Briar Boleyn,14 hrs and 36 mins
The Widow,John Grisham,11 hrs and 30 mins
We Fell Apart,Author not found,8 hrs
Homies Lovers and Friends 3: A Brooklyn Love Story,Jahquel J.,6 hrs and 39 mins
Carcharadons: Void Exile,Robbie MacNiven,9 hrs and 50 mins
