College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
Visvesvaraya National Institute of Technology - [VNIT],"Nagpur, Maharashtra",B.Tech Electrical and Electronic...,"₹ 1,50,950",B.Tech Mechanical Engineering,"₹ 1,50,950",https://collegedunia.com/university/25733-visvesvaraya-national-institute-of-technology-vnit-nagpur/courses-fees?course_id=2051
Institute of Chemical Technology - [ICT],"Mumbai, Maharashtra",B.Tech Plastic and Polymer Engin...,"₹ 88,350",B.Tech Food Engineering,"₹ 88,350",https://collegedunia.com/university/25705-institute-of-chemical-technology-ict-mumbai/courses-fees?course_id=2115
College of Engineering - [COEP],"Pune, Maharashtra",B.Tech Electronics & Telecommuni...,"₹ 1,56,464",B.Tech Robotics and Automation -...,"₹ 1,56,464",https://collegedunia.com/college/28215-college-of-engineering-coep-pune/courses-fees?course_id=2057
Indian Institute of Information Technology - [IIIT],"Pune, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,08,750",B.Tech Electronics & Communicati...,"₹ 3,08,750",https://collegedunia.com/university/57979-indian-institute-of-information-technology-iiit-pune/courses-fees?course_id=2049
Sardar Patel Institute of Technology - [SPIT],"Mumbai, Maharashtra",B.Tech Computer Science Engineering,"₹ 2,10,000",B.Tech Computer Engineering,"₹ 2,10,000",https://collegedunia.com/college/14948-sardar-patel-institute-of-technology-spit-mumbai/courses-fees?course_id=2049
Indian Institute of Information Technology - [IIIT],"Nagpur, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 2,46,300",B.Tech Computer Science Engineering,"₹ 2,46,300",https://collegedunia.com/university/57974-indian-institute-of-information-technology-iiit-nagpur/courses-fees?course_id=15865
Dwarkadas J Sanghvi College of Engineering - [DJSCE],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 2,29,625",BE Artificial Intelligence and D...,"₹ 2,29,625",https://collegedunia.com/college/13419-dwarkadas-j-sanghvi-college-of-engineering-djsce-mumbai/courses-fees?course_id=1954
Vishwakarma Institute of Technology,"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 2,06,000",B.Tech Information Technology,"₹ 2,06,000",https://collegedunia.com/college/24615-vishwakarma-institute-of-technology-pune/courses-fees?course_id=2047
Pune Institute of Computer Technology- [PICT],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,20,500",BE Artificial Intelligence and D...,"₹ 1,20,500",https://collegedunia.com/college/14624-pune-institute-of-computer-technology-pict-pune/courses-fees?course_id=1954
Walchand College of Engineering - [WCE],"Sangli, Maharashtra",B.Tech Computer Science Engineering,"₹ 86,104",B.Tech Information Technology,"₹ 86,104",https://collegedunia.com/college/15513-walchand-college-of-engineering-wce-sangli/courses-fees?course_id=2049
MKSSS's Cummins College of Engineering for Women,"Pune, Maharashtra",B.Tech Computer Engineering,"₹ 1,75,436",B.Tech Information Technology,"₹ 1,75,436",https://collegedunia.com/college/13284-mkssss-cummins-college-of-engineering-for-women-pune/courses-fees?course_id=2047
Walchand Institute of Technology - [WIT],"Solapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,32,473",B.Tech Information Technology,"₹ 1,32,473",https://collegedunia.com/college/15514-walchand-institute-of-technology-wit-solapur/courses-fees?course_id=2049
"GH Raisoni College of Engineering - [GHRCE], Nagpur","Nagpur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,33,500",B.Tech Artificial Intelligence a...,"₹ 1,33,500",https://collegedunia.com/college/13492-gh-raisoni-college-of-engineering-ghrce-nagpur-nagpur/courses-fees?course_id=2049
Thadomal Shahani Engineering College - [TSEC],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 8,04,000",BE (Information Technology),"₹ 8,04,000",https://collegedunia.com/college/15452-thadomal-shahani-engineering-college-tsec-mumbai/courses-fees?course_id=1954
Vivekanand Education Society Institute of Technology - [VESIT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 6,04,000",BE (Information Technology),"₹ 6,04,000",https://collegedunia.com/college/15528-vivekanand-education-society-institute-of-technology-vesit-mumbai/courses-fees?course_id=1954
D. Y. Patil College of Engineering,"Pune, Maharashtra",BE Computer Engineering,N/A,BE (Information Technology),N/A,https://collegedunia.com/college/13376-d-y-patil-college-of-engineering-pune/courses-fees?course_id=1954
Army Institute of Technology - [AIT],"Pune, Maharashtra",BE Computer Engineering,"₹ 2,36,485",BE (Information Technology),"₹ 2,36,485",https://collegedunia.com/college/12868-army-institute-of-technology-ait-pune/courses-fees?course_id=1954
Pimpri Chinchwad College of Engineering - [PCCOE],"Pune, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 1,77,096",B.Tech Computer Engineering,"₹ 1,77,096",https://collegedunia.com/college/14564-pimpri-chinchwad-college-of-engineering-pccoe-pune/courses-fees?course_id=15865
AISSMS College of Engineering - [AISSMSCOE],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,63,000",BE Electronics & Telecom Enginee...,"₹ 1,63,000",https://collegedunia.com/college/12779-aissms-college-of-engineering-aissmscoe-pune/courses-fees?course_id=1954
Vishwakarma Institute of Information Technology - [VIIT],"Pune, Maharashtra",B.Tech Information Technology,"₹ 8,24,000",B.Tech Computer Engineering,"₹ 8,24,000",https://collegedunia.com/college/28914-vishwakarma-institute-of-information-technology-viit-pune/courses-fees?course_id=5122
