type,title,link,author
headline,Home Ministry notifies resignation of Vice-President Jagdeep Dhankhar: Rajya Sabha informed,https://www.thehindu.com/news/national/home-ministry-notifies-resignation-of-vice-president-jagdeep-dhankhar-rajya-sabha-informed/article69841581.ece,
headline,"Soon after the House met for the Question Hour at 12 noon, Ghanshyam Tiwari, who was in the Chair, informed members about the notification",https://www.thehindu.com/news/national/home-ministry-notifies-resignation-of-vice-president-jagdeep-dhankhar-rajya-sabha-informed/article69841581.ece,
headline,INDIA,https://www.thehindu.com/news/national/,
headline,SC directs all hotel owners along Kanwar Yatra route to display licences,https://www.thehindu.com/news/national/sc-directs-all-hotel-owners-along-kanwar-yatra-route-to-display-licences/article69841608.ece,
headline,INDIA,https://www.thehindu.com/news/national/,
headline,Indian Air Force to retire MIG-21 jets in September,https://www.thehindu.com/news/national/indian-air-force-to-retire-mig-21-jets-in-september/article69841737.ece,
headline,Army gets first batch of Apache helicopters from U.S.,https://www.thehindu.com/news/national/army-gets-first-batch-of-apache-helicopters-from-us/article69841572.ece,
news,"Who are they, what is their party position: Tharoor hits back at K. Muraleedharan",https://www.thehindu.com/news/national/who-are-they-what-is-their-party-position-tharoor-hits-back-at-k-muraleedharan/article69841809.ece,PTI
news,"Jagdeep Dhankhar always defended farmers, was enthusiastic about judicial reforms",https://www.thehindu.com/news/national/jagdeep-dhankhar-always-defended-farmers-was-enthusiastic-about-judicial-reforms/article69841758.ece,THE HINDU BUREAU
news,What is Article 67(a) of the Indian Constitution invoked by Vice President Jagdeep Dhankhar?,https://www.thehindu.com/news/national/what-is-article-67a-of-the-indian-constitution-invoked-by-vice-president-jagdeep-dhankhar/article69841651.ece,THE HINDU BUREAU
news,Indian Air Force to retire MIG-21 jets in September,https://www.thehindu.com/news/national/indian-air-force-to-retire-mig-21-jets-in-september/article69841737.ece,SAURABH TRIVEDI
news,"LIVE: Vice-President Dhankhar resigns | Dhankhar always defended farmers, was enthusiastic about judicial reforms",https://www.thehindu.com/news/national/vice-president-jagdeep-dhankhar-resignation-live-updates-july-22-2025/article69841583.ece,THE HINDU BUREAU
news,Home Ministry notifies resignation of Vice-President Jagdeep Dhankhar: Rajya Sabha informed,https://www.thehindu.com/news/national/home-ministry-notifies-resignation-of-vice-president-jagdeep-dhankhar-rajya-sabha-informed/article69841581.ece,PTI
news,SC directs all hotel owners along Kanwar Yatra route to display licences,https://www.thehindu.com/news/national/sc-directs-all-hotel-owners-along-kanwar-yatra-route-to-display-licences/article69841608.ece,PTI
news,Army gets first batch of Apache helicopters from U.S.,https://www.thehindu.com/news/national/army-gets-first-batch-of-apache-helicopters-from-us/article69841572.ece,SAURABH TRIVEDI
news,Opposition protests in Parliament against Bihar’s Special Intensive Revision of electoral rolls,https://www.thehindu.com/news/national/opposition-protests-in-parliament-against-bihars-special-intensive-revision-of-electoral-rolls/article69841453.ece,THE HINDU BUREAU
news,"Vice-President office was informed of his, Rijiju's inability to attend BAC meeting, says Nadda",https://www.thehindu.com/news/national/vice-president-office-was-informed-of-his-rijijus-inability-to-attend-bac-meeting-says-nadda/article69841423.ece,PTI
news,2006 train blasts case: Supreme Court to hear Maharashtra’s plea against Bombay HC verdict on July 24,https://www.thehindu.com/news/national/2006-train-blasts-case-supreme-court-to-hear-maharashtras-plea-against-bombay-hc-verdict-on-july-24/article69841368.ece,THE HINDU BUREAU
news,Parliament Monsoon Session Day 2: Both Houses adjourned till 2 p.m.,https://www.thehindu.com/news/national/parliament-monsoon-session-day-2-rajya-sabha-lok-sabha-proceedings-update-july-22/article69841339.ece,THE HINDU BUREAU
news,"Presidential Reference concerns all States, will answer all questions raised: Supreme Court",https://www.thehindu.com/news/national/presidential-reference-hearing-supreme-court-to-issue-notices-to-union-state-govts-hearing-in-mid-august/article69841315.ece,KRISHNADAS RAJAGOPAL
news,Parliament Monsoon Session Day 2 LIVE: Both Houses adjourned for the day amid Opposition protests,https://www.thehindu.com/news/national/parliament-monsoon-session-day-2-on-july-22-2025-live-updates/article69841095.ece,THE HINDU BUREAU
